epoch,accuracy,learning_rate,loss,precision,roc_auc,sensitivity,val_accuracy,val_loss,val_precision,val_roc_auc,val_sensitivity
0,0.5555555820465088,0.0010000000474974513,0.7577836513519287,0.5675675868988037,0.5162551403045654,0.7777777910232544,0.5833333134651184,0.8157137036323547,1.0,0.5714285969734192,0.2857142984867096
1,0.6464646458625793,0.0010000000474974513,0.692668080329895,0.6727272868156433,0.6586419343948364,0.6851851940155029,0.5,0.671999454498291,0.5555555820465088,0.6714285612106323,0.7142857313156128
2,0.7373737096786499,0.0010000000474974513,0.5704714059829712,0.7121211886405945,0.7956790328025818,0.8703703880310059,0.75,0.699634313583374,0.8333333134651184,0.7000000476837158,0.7142857313156128
3,0.6969696879386902,0.0010000000474974513,0.5421106815338135,0.6875,0.8306584358215332,0.8148148059844971,0.6666666865348816,0.7162777781486511,1.0,0.6714285612106323,0.4285714328289032
4,0.8383838534355164,0.0010000000474974513,0.483259379863739,0.9318181872367859,0.8866255283355713,0.7592592835426331,0.6666666865348816,0.6354703903198242,0.7142857313156128,0.7428571581840515,0.7142857313156128
5,0.8181818127632141,0.0010000000474974513,0.43468767404556274,0.8600000143051147,0.9185185432434082,0.7962962985038757,0.6666666865348816,0.6337146759033203,0.800000011920929,0.7428570985794067,0.5714285969734192
6,0.8383838534355164,0.0010000000474974513,0.45087751746177673,0.9318181872367859,0.8936213254928589,0.7592592835426331,0.6666666865348816,0.6488662362098694,0.6666666865348816,0.7142857313156128,0.8571428656578064
7,0.7777777910232544,0.0010000000474974513,0.4474075734615326,0.7285714149475098,0.9084362387657166,0.9444444179534912,0.6666666865348816,0.6867899298667908,1.0,0.7714285850524902,0.4285714328289032
8,0.8585858345031738,0.0010000000474974513,0.3735015094280243,0.9347826242446899,0.9510288238525391,0.7962962985038757,0.6666666865348816,0.6334667801856995,0.6666666865348816,0.800000011920929,0.8571428656578064
9,0.8787878751754761,0.0010000000474974513,0.3600368797779083,0.8387096524238586,0.9588477611541748,0.9629629850387573,0.6666666865348816,0.690462589263916,0.800000011920929,0.7142857313156128,0.5714285969734192
10,0.8888888955116272,0.0010000000474974513,0.3763165771961212,0.9215686321258545,0.9596707820892334,0.8703703880310059,0.6666666865348816,0.6279030442237854,0.7142857313156128,0.7428571581840515,0.7142857313156128
11,0.8787878751754761,0.0010000000474974513,0.3216436803340912,0.875,0.9666666984558105,0.9074074029922485,0.6666666865348816,0.6554468274116516,0.7142857313156128,0.7428571581840515,0.7142857313156128
12,0.9090909361839294,0.0010000000474974513,0.29814741015434265,0.9245283007621765,0.9738683104515076,0.9074074029922485,0.6666666865348816,0.6364841461181641,0.7142857313156128,0.7714285850524902,0.7142857313156128
13,0.8888888955116272,0.0010000000474974513,0.288451611995697,0.8524590134620667,0.970370352268219,0.9629629850387573,0.6666666865348816,0.654953122138977,0.7142857313156128,0.7714285850524902,0.7142857313156128
14,0.939393937587738,0.00020000000949949026,0.258890300989151,0.9615384340286255,0.9767489433288574,0.9259259104728699,0.6666666865348816,0.654724657535553,0.7142857313156128,0.7428571581840515,0.7142857313156128
15,0.9696969985961914,0.00020000000949949026,0.2274756133556366,0.9636363387107849,0.9987654685974121,0.9814814925193787,0.6666666865348816,0.660270631313324,0.7142857313156128,0.7428570985794067,0.7142857313156128
16,0.939393937587738,0.00020000000949949026,0.2424192875623703,0.9137930870056152,0.9909465312957764,0.9814814925193787,0.6666666865348816,0.6884543299674988,0.800000011920929,0.7428571581840515,0.5714285969734192
